example_id                                                     | status | run_time        |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:1:2] | passed | 0.00004 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:2:1] | passed | 0.00011 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:2:2] | passed | 0.00004 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:2:3] | passed | 0.00041 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:2:4] | passed | 0.00004 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:3:1] | passed | 0.00021 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:3:2] | passed | 0.00004 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:3:3] | passed | 0.00004 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:4:1] | passed | 0.00004 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:4:2] | passed | 0.00038 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:5:1] | passed | 0.00057 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:5:2] | passed | 0.00005 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:6:1] | passed | 0.00005 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:6:2] | passed | 0.00031 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:7:1] | passed | 0.00004 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:7:2] | passed | 0.00031 seconds |
./spec/toggly/evaluators/contextual_targeting_spec.rb[1:2:8:1] | passed | 0.00004 seconds |
./spec/toggly/evaluators/percentage_spec.rb[1:1:1]             | passed | 0.0003 seconds  |
./spec/toggly/evaluators/percentage_spec.rb[1:2:1:1]           | passed | 0.00024 seconds |
./spec/toggly/evaluators/percentage_spec.rb[1:2:2:1]           | passed | 0.00004 seconds |
./spec/toggly/evaluators/percentage_spec.rb[1:2:3:1]           | passed | 0.00004 seconds |
./spec/toggly/evaluators/percentage_spec.rb[1:2:4:1]           | passed | 0.00007 seconds |
./spec/toggly/evaluators/percentage_spec.rb[1:2:4:2]           | passed | 0.00252 seconds |
./spec/toggly/evaluators/percentage_spec.rb[1:2:5:1]           | passed | 0.00004 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:1:1]              | passed | 0.00003 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:1:1]            | passed | 0.00003 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:1:2]            | passed | 0.00003 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:1:3]            | passed | 0.00003 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:2:1]            | passed | 0.00004 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:2:2]            | passed | 0.00005 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:2:3]            | passed | 0.00004 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:3:1]            | passed | 0.00045 seconds |
./spec/toggly/evaluators/targeting_spec.rb[1:2:4:1]            | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:1:1]                | passed | 0.00004 seconds |
./spec/toggly/feature_definition_spec.rb[1:1:2]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:1:3]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:1:4]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:2:1]                | passed | 0.00004 seconds |
./spec/toggly/feature_definition_spec.rb[1:2:2]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:3:1]                | passed | 0.00004 seconds |
./spec/toggly/feature_definition_spec.rb[1:4:1]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:4:2]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:5:1]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:5:2]                | passed | 0.00004 seconds |
./spec/toggly/feature_definition_spec.rb[1:5:3]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:5:4]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:6:1]                | passed | 0.00003 seconds |
./spec/toggly/feature_definition_spec.rb[1:6:2]                | passed | 0.00004 seconds |
./spec/toggly/snapshot_providers/file_spec.rb[1:1:1]           | passed | 0.00056 seconds |
./spec/toggly/snapshot_providers/file_spec.rb[1:1:2]           | passed | 0.0006 seconds  |
./spec/toggly/snapshot_providers/file_spec.rb[1:2:1]           | passed | 0.00028 seconds |
./spec/toggly/snapshot_providers/file_spec.rb[1:2:2]           | passed | 0.00042 seconds |
./spec/toggly/snapshot_providers/file_spec.rb[1:3:1]           | passed | 0.00072 seconds |
./spec/toggly/snapshot_providers/file_spec.rb[1:3:2]           | passed | 0.00071 seconds |
./spec/toggly/snapshot_providers/file_spec.rb[1:4:1]           | passed | 0.0004 seconds  |
./spec/toggly/snapshot_providers/file_spec.rb[1:5:1]           | passed | 0.00038 seconds |
./spec/toggly/snapshot_providers/memory_spec.rb[1:1:1]         | passed | 0.00007 seconds |
./spec/toggly/snapshot_providers/memory_spec.rb[1:2:1]         | passed | 0.00003 seconds |
./spec/toggly/snapshot_providers/memory_spec.rb[1:2:2]         | passed | 0.00005 seconds |
./spec/toggly/snapshot_providers/memory_spec.rb[1:3:1]         | passed | 0.00004 seconds |
./spec/toggly_spec.rb[1:1]                                     | passed | 0.00003 seconds |
./spec/toggly_spec.rb[1:2:1]                                   | passed | 0.0091 seconds  |
./spec/toggly_spec.rb[1:3:1]                                   | passed | 0.00028 seconds |
./spec/toggly_spec.rb[1:3:2]                                   | passed | 0.00028 seconds |
./spec/toggly_spec.rb[1:3:3]                                   | passed | 0.00024 seconds |
./spec/toggly_spec.rb[1:4:1]                                   | passed | 0.0003 seconds  |
./spec/toggly_spec.rb[1:5:1]                                   | passed | 0.00026 seconds |
